waawaatesi+NA	waawaatesiw
3+waawaatesi+NA+ThmPos+Pej+3+4+Prt+4	owaawaatesiwmishniwibaniin
3+waawaatesi+NA+ThmPos+Pej+3+4+Prt+4	owaawaatesiwmishniibaniin

3+waawaatesi+NA+ThmPos+Pej+3+4+Prt+Loc	owaawaatesiwmishniwibaniing
3+waawaatesi+NA+ThmPos+Pej+3+4+Prt+Loc	owaawaatesiwmishniibaniing

1+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Prt+4	niwaawaatesiwenymishnaanibaniin

1+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Prt+Loc	niwaawaatesiwenymishnaanibaniing

1+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Prt+Pl	niwaawaatesiwenymishnaanibani1ag

1+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Prt+4	niwaawaatesiwensmishnaanibaniin

1+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Prt+Loc	niwaawaatesiwensmishnaanibaniing

1+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Prt+Pl	niwaawaatesiwensmishnaanibani1ag

2+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Prt+4	giwaawaatesiwenymishnaanibaniin

2+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Prt+Loc	giwaawaatesiwenymishnaanibaniing

2+waawaatesi+NA+Con+ThmPos+Pej+1+Pl+Prt+Pl	giwaawaatesiwenymishnaanibani1ag

2+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+Prt+4	giwaawaatesiwenymishwaabaniin

2+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+Prt+Loc	giwaawaatesiwenymishwaabaniing

2+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+Prt+Pl	giwaawaatesiwenymishwaabani1ag

2+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Prt+4	giwaawaatesiwensmishnaanibaniin

2+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Prt+Loc	giwaawaatesiwensmishnaanibaniing

2+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl+Prt+Pl	giwaawaatesiwensmishnaanibani1ag

2+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+Prt+4	giwaawaatesiwensmishwaabaniin

2+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+Prt+Loc	giwaawaatesiwensmishwaabaniing

2+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+Prt+Pl	giwaawaatesiwensmishwaabani1ag

3+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+Prt+4	owaawaatesiwenymishwaabaniin

3+waawaatesi+NA+Con+ThmPos+Pej+2+Pl+Prt+Loc	owaawaatesiwenymishwaabaniing

3+waawaatesi+NA+Con+ThmPos+Pej+3+4+Prt+4	owaawaatesiwenymishniwibaniin
3+waawaatesi+NA+Con+ThmPos+Pej+3+4+Prt+4	owaawaatesiwenymishniibaniin

3+waawaatesi+NA+Con+ThmPos+Pej+3+4+Prt+Loc	owaawaatesiwenymishniwibaniing
3+waawaatesi+NA+Con+ThmPos+Pej+3+4+Prt+Loc	owaawaatesiwenymishniibaniing

3+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+Prt+4	owaawaatesiwensmishwaabaniin

3+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl+Prt+Loc	owaawaatesiwensmishwaabaniing

3+waawaatesi+NA+Dim+ThmPos+Pej+3+4+Prt+4	owaawaatesiwensmishniwibaniin
3+waawaatesi+NA+Dim+ThmPos+Pej+3+4+Prt+4	owaawaatesiwensmishniibaniin

3+waawaatesi+NA+Dim+ThmPos+Pej+3+4+Prt+Loc	owaawaatesiwensmishniwibaniing
3+waawaatesi+NA+Dim+ThmPos+Pej+3+4+Prt+Loc	owaawaatesiwensmishniibaniing

